Timestamp,bp_discharge,bp_discharge+1,bp_discharge+2,bp_discharge+3,bp_discharge+4,bp_discharge+5,bp_discharge+6,bp_discharge+7,bp_discharge+8,bp_discharge+9,bp_discharge+10,bp_discharge+11,bp_discharge+12,bp_discharge+13,bp_discharge+14,bp_discharge+15,bp_discharge+16,bp_discharge+17,bp_discharge+18,bp_discharge+19,bp_discharge+20,bp_discharge+21,bp_discharge+22,bp_discharge+23,bp_discharge+24,bp_discharge+25,bp_discharge+26,bp_discharge+27,bp_discharge+28,bp_discharge+29,bp_discharge+30,bp_discharge+31,bp_discharge+32,bp_discharge+33,bp_discharge+34,bp_discharge+35,bp_discharge+36,bp_discharge+37,bp_discharge+38,bp_discharge+39
8/22/2015,0.218,0.236,0.196,0.399,1.215,0.377,0.303,0.322,0.3,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386
8/23/2015,0.236,0.196,0.399,1.215,0.377,0.303,0.322,0.3,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365
8/24/2015,0.196,0.399,1.215,0.377,0.303,0.322,0.3,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352
8/25/2015,0.399,1.215,0.377,0.303,0.322,0.3,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341
8/26/2015,1.215,0.377,0.303,0.322,0.3,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33
8/27/2015,0.377,0.303,0.322,0.3,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385
8/28/2015,0.303,0.322,0.3,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375
8/29/2015,0.322,0.3,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314
8/30/2015,0.3,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292
8/31/2015,0.271,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285
9/1/2015,0.252,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272
9/2/2015,0.238,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26
9/3/2015,0.229,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243
9/4/2015,0.217,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232
9/5/2015,0.206,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231
9/6/2015,0.198,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221
9/7/2015,0.193,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212
9/8/2015,0.188,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207
9/9/2015,0.186,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202
9/10/2015,0.181,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194
9/11/2015,0.787,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19
9/12/2015,0.541,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197
9/13/2015,1.47,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182
9/14/2015,2.411,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189
9/15/2015,1.978,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378
9/16/2015,1.611,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238
9/17/2015,1.205,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883
9/18/2015,1.033,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78
9/19/2015,0.911,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81
9/20/2015,0.928,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043
9/21/2015,0.889,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989
9/22/2015,0.75,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984
9/23/2015,0.663,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784
9/24/2015,0.596,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74
9/25/2015,0.535,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69
9/26/2015,0.497,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631
9/27/2015,0.464,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856
9/28/2015,0.437,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824
9/29/2015,0.411,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823
9/30/2015,0.386,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075
10/1/2015,0.365,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472
10/2/2015,0.352,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315
10/3/2015,0.341,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534
10/4/2015,0.33,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712
10/5/2015,0.385,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499
10/6/2015,0.375,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651
10/7/2015,0.314,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497
10/8/2015,0.292,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44
10/9/2015,0.285,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8
10/10/2015,0.272,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62
10/11/2015,0.26,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38
10/12/2015,0.243,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248
10/13/2015,0.232,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136
10/14/2015,0.231,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049
10/15/2015,0.221,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967
10/16/2015,0.212,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921
10/17/2015,0.207,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812
10/18/2015,0.202,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735
10/19/2015,0.194,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702
10/20/2015,0.19,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742
10/21/2015,0.197,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868
10/22/2015,0.182,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043
10/23/2015,0.189,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862
10/24/2015,0.378,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032
10/25/2015,0.238,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113
10/26/2015,0.883,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202
10/27/2015,0.78,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104
10/28/2015,0.81,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234
10/29/2015,1.043,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208
10/30/2015,0.989,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602
10/31/2015,0.984,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365
11/1/2015,0.784,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668
11/2/2015,0.74,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668,1.966
11/3/2015,0.69,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668,1.966,4.087
11/4/2015,0.631,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668,1.966,4.087,3.51
11/5/2015,0.856,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668,1.966,4.087,3.51,4.571
11/6/2015,0.824,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668,1.966,4.087,3.51,4.571,5.137
11/7/2015,0.823,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668,1.966,4.087,3.51,4.571,5.137,4.427
11/8/2015,2.075,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668,1.966,4.087,3.51,4.571,5.137,4.427,3.807
11/9/2015,1.472,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668,1.966,4.087,3.51,4.571,5.137,4.427,3.807,3.117
11/10/2015,1.315,1.534,1.712,1.499,1.651,1.497,1.44,1.8,1.62,1.38,1.248,1.136,1.049,0.967,0.921,0.812,0.735,0.702,0.742,0.868,1.043,0.862,1.032,4.113,2.202,4.104,3.234,3.208,2.602,2.365,2.668,1.966,4.087,3.51,4.571,5.137,4.427,3.807,3.117,3.439
