Timestamp,bp_discharge,bp_discharge+1,bp_discharge+2,bp_discharge+3,bp_discharge+4,bp_discharge+5,bp_discharge+6,bp_discharge+7,bp_discharge+8,bp_discharge+9,bp_discharge+10,bp_discharge+11,bp_discharge+12,bp_discharge+13,bp_discharge+14,bp_discharge+15,bp_discharge+16,bp_discharge+17,bp_discharge+18,bp_discharge+19,bp_discharge+20,bp_discharge+21,bp_discharge+22,bp_discharge+23,bp_discharge+24,bp_discharge+25,bp_discharge+26,bp_discharge+27,bp_discharge+28,bp_discharge+29,bp_discharge+30,bp_discharge+31,bp_discharge+32,bp_discharge+33,bp_discharge+34,bp_discharge+35,bp_discharge+36,bp_discharge+37,bp_discharge+38,bp_discharge+39
3/9/2018,0.708,1.162,0.909,0.958,0.805,4.219,2.034,1.723,1.464,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17
3/10/2018,1.162,0.909,0.958,0.805,4.219,2.034,1.723,1.464,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013
3/11/2018,0.909,0.958,0.805,4.219,2.034,1.723,1.464,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732
3/12/2018,0.958,0.805,4.219,2.034,1.723,1.464,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461
3/13/2018,0.805,4.219,2.034,1.723,1.464,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283
3/14/2018,4.219,2.034,1.723,1.464,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196
3/15/2018,2.034,1.723,1.464,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016
3/16/2018,1.723,1.464,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291
3/17/2018,1.464,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994
3/18/2018,1.283,1.122,0.982,0.891,0.896,1.017,1.104,0.8,0.82,0.794,0.697,0.727,0.784,0.66,0.995,1.311,1.178,1.003,1.03,4.004,1.83,1.906,1.629,1.49,1.277,1.149,1.023,0.925,1.271,2.296,4.17,2.013,1.732,1.461,1.283,1.196,1.016,1.291,0.994,0.858
